"Flickr album title","Commons categories"
"April 2nd 2012 Ground Level Hot Fire","Morpheus (lander)"
"April 27th Tether Test","Morpheus (lander)"
"April 11th 2012 Tether Test 11","Morpheus (lander)"
"Liquid Oxygen Fill Test","Morpheus (lander)"
"Methane Fill Dry Run","Morpheus (lander)"
"Cold Flow","Morpheus (lander)"
"April 5th 2012 Tether Test 10","Morpheus (lander)"
"February 27th 2012 Hot Fire","Morpheus (lander)"
"March 13th Tether Test","Morpheus (lander)"
"May 5th Tether Test","Morpheus (lander)"
"Hot Fire Attempt","Morpheus (lander)"
"April 14th 2011 Hot Fire","Morpheus (lander)"
"June 1st 2011 Tether Test","Morpheus (lander)"
"Hot Fire Ops Dry Run","Morpheus (lander)"
"July 20th Hot Fire Attempt","Morpheus (lander)"
"May 4th Tether Test","Morpheus (lander)"
"April 19th Hot Fire","Morpheus (lander)"
