"Djangoplicity category","Commons Category"
"360 Panorama","360° panoramas"
"ALMA","Atacama Large Millimeter Array"
"APEX","Atacama Pathfinder Experiment"
"Arizona","Arizona"
"Buildings","Buildings"
"Chile","Chile"
"Cosmology","Cosmology"
"CTIO","CTIO"
"ELT","Extremely Large Telescope"
"ESO Supernova","ESO Supernova"
"Exoplanets","Exoplanets"
"Fulldome","Fulldome"
"Galaxies","Galaxies"
"Galaxy Clusters","Galaxy clusters"
"Gemini Observatory","Gemini Observatory"
"Hawai‘i","Hawaii"
"Illustrations","Illustrations"
"Kitt Peak National Observatory","Kitt Peak National Observatory"
"La Silla","La Silla Observatory"
"National Solar Observatory","National Solar Observatory"
"Nebulae","Nebulae"
"Paranal","Paranal Observatory"
"People and Events",""
"Premises",""
"Quasars and Black Holes","Black holes"
"Solar System","Solar System"
"Star Clusters","Star clusters"
"Stars","Stars"
"Survey Telescopes","Telescopes"
"US-ELTP","US-ELTP"
"Vera C. Rubin Observatory","Vera C. Rubin Observatory"
