"Keyword","Commons categories"
"2nd Range Operations Squadron","2nd Range Operations Squadron"
"19th Space Operations Squadron","19th Space Operations Squadron"
"30th Civil Engineer Squadron","30th Civil Engineer Squadron"
"30th Security Forces Squadron","30th Security Forces Squadron"
"310th Space Wing","310th Space Wing"
"310th SW","310th Space Wing"
"45th Security Forces Squadron","45th Security Forces Squadron"
"45th SFS","45th Security Forces Squadron"
"45th Civil Engineer Squadron","45th Civil Engineer Squadron"
"45th Civil Engineer Squadron Explosive Ordnance Disposal team","45th Civil Engineer Squadron Explosive Ordnance Disposal team"
"4 SOPS","4th Space Operations Squadron"
"4th Space Operations Squadron","4th Space Operations Squadron"
"5K","Long-distance running"
"50th anniversary","50th anniversaries"
"9/11 memorial","September 11 attacks"
"920th Rescue Wing","920th Rescue Wing (United States Air Force)"
"2012WarriorGames","2012 Warrior Games"
"2013 WARRIOR GAMES","2013 Warrior Games"
"2013WarriorGames","2013 Warrior Games"
"active duty funeral","Funerals of military people in the United States"
"active service funeral","Funerals of military people in the United States"
"advanced extremely high frequency","Advanced Extremely High Frequency"
"AEHF","Advanced Extremely High Frequency"
"AEHF-4","Advanced Extremely High Frequency"
"AEHF-5","Advanced Extremely High Frequency"
"AF Academy","United States Air Force Academy"
"AF Defender Challenge","Defender Challenge"
"AFA","United States Air Force Academy"
"AFB","United States Air Force bases"
"AFGSC","Air Force Global Strike Command"
"AFRL","Air Force Research Laboratory"
"AFSCN","Air Force Satellite Control Network"
"AFV2GDemo","Electrically-powered automobiles in the United States"
"AFW2","Air Force Wounded Warrior Program"
"Air Force Academy","United States Air Force Academy"
"air force base","United States Air Force bases"
"Air Force Chief of Staff","Chiefs of Staff of the United States Air Force"
"Air Force Honor Guard","United States Air Force Honor Guard"
"AIr Force Reserve","United States Air Force Reserve Command"
"Air Force Reserve Command","United States Air Force Reserve Command"
"Air Force Security Forces Center","United States Air Force Security Forces"
"Air Mobility Command","Air Mobility Command"
"Air National Guard","Air National Guard"
"ambulance","Ambulances in the United States"
"American flag","National flag of the United States"
"Arbor Day","Arbor Day"
"archery","Archery"
"Archery tournament","Archery competitions"
"astronaut","Astronauts from the United States"
"astronauts","Astronauts from the United States"
"athletes","Athletics competitors from the United States"
"Atlas","Atlas (rocket)"
"Atlas V","Atlas (rocket)"
"AtlasV","Atlas (rocket)"
"Australia","Australia"
"BAFB","Buckley Space Force Base"
"Barack H. Obama","Barack Obama"
"Base Picnic","Picnics"
"baseball","Baseball in the United States"
"bbq","Barbecues in the United States"
"Beale","Beale Air Force Base"
"bench press","Bench press"
"Bennu","101955 Bennu"
"Boeing","Boeing"
"boosters","Boosters (rocketry)"
"Buckey AFB","Buckley Space Force Base"
"Buckley","Buckley Space Force Base"
"Buckley AFB","Buckley Space Force Base"
