"ESA mission","Commons Categories"
"Aeolus","ADM-Aeolus"
"ATV","Automated Transfer Vehicle"
"BepiColombo","BepiColombo"
"BepiColombo Mars Express Rosetta Venus Express","BepiColombo;Mars Express;Rosetta (spacecraft);Venus Express"
"Beyond","Luca Parmitano;ISS Expedition 60"
"Blue Dot","ISS Expedition 40"
"Cassini-Huygens","Cassini-Huygens"
"CHEOPS","CHEOPS (spacecraft)"
"Cluster","Cluster II"
"Cluster Cluster-II","Cluster II"
"Cluster-II","Cluster II"
"CryoSat","CryoSat"
"Envisat","Envisat"
"Envisat ERS-1","Envisat;ERS-1"
"Envisat ERS-2","Envisat;ERS-2"
"Envisat Sentinel-1","Envisat;Sentinel-1"
"Envisat Sentinel-3","Envisat;Sentinel-3"
"ERS-1","ERS-1"
"ERS-2","ERS-2"
"ERS-2 Envisat","Envisat;ERS-2"
"ESRO-2","ESRO-2"
"Eureca-1","EURECA"
"ExoMars","ExoMars"
"ExoMars ExoMars 2016","ExoMars 2016"
"ExoMars ExoMars 2016 Mars Express","ExoMars 2016;Mars Express"
"ExoMars Mars Express","ExoMars;Mars Express"
"Exosat","Exosat"
"Gaia","Gaia (spacecraft)"
"Gaia Mars Express Rosetta","Gaia (spacecraft);Mars Express;Rosetta (spacecraft)"
"Galileo","Galileo (satellite navigation)"
"Giotto","Giotto (spacecraft)"
"GOCE","GOCE"
"Hera","Hera (spacecraft)"
"Herschel","Herschel (space telescope)"
"Horizons","ISS Expedition 56"
"Hubble Space Telescope (HST)","Hubble Space Telescope"
"Hubble Space Telescope Hubble Space Telescope (HST)","Hubble Space Telescope"
"INTEGRAL","INTEGRAL"
"IXV","Intermediate eXperimental Vehicle"
"LISA Pathfinder","LISA Pathfinder"
"Mars Express","Mars Express"
"Mars Express Rosetta","Mars Express;Rosetta (spacecraft)"
"Meteosat Meteosat Second Generation (MSG)","Meteosat;Meteosat Second Generation"
"Meteosat-3 Meteosat-4","Meteosat"
"MetOp","MetOp"
"MSG-4","Meteosat Second Generation"
"MTG","Meteosat Third Generation"
"OPS-SAT","OPS-SAT"
"Principia","Timothy Peake;ISS Expedition 46"
"Proba-1","Proba-1"
"Proba-V","Proba-V"
"PromISSe (Astronaut Kuipers)","ISS Expedition 30"
"Rosetta","Rosetta (spacecraft)"
"Sentinel-1","Sentinel-1"
"Sentinel-1 Sentinel-2","Sentinel-1;Sentinel-2"
"Sentinel-2","Sentinel-2"
"Sentinel-3","Sentinel-3"
"Sentinel-5P","Sentinel-5P"
"Sentinel-6","Sentinel-6"
"SMART-1","SMART-1"
"SOHO","SOHO (spacecraft)"
"SOHO Space Situational Awareness (SSA)",
"space safety",
"space safety Space Situational Awareness (SSA)",
"Space Situational Awareness (SSA)",
"Vita","ISS Expedition 52"
"XMM-Newton","XMM-Newton"
