"Flickr album title","Commons categories"
"Carbon & Climate","Global warming"
"Arctic Boreal and Vulnerability Experiment","Arctic Boreal and Vulnerability Experiment (AboVE)"
"Atmospheric Tomography","Atmospheric Tomography Mission (Atom)"
"Earth Social Shareables","Graphics"
"Coral Airborne Research Laboratory","COral Reef Airborne Laboratory (CORAL)"
"Atmospheric Carbon and Transport-America","ACT–America"
"North Atlantic Aerosols and Marine Ecosystems Study","NAAMES"
"Earth Expeditions Social","Promotional photos"
"Rising Seas","Promotional photos"
"Convective Processes Experiment","Convective Processes Experiment (CPEX)"
"Oceans Melting Greenland","Oceans Melting Greenland (OMG)"
"Cloud, Aerosol, and Monsoon Processes Philippines Experiment","Cloud, Aerosol and Monsoon Processes Philippines Experiment (CAMP2Ex)"
"Observations of Clouds above Aerosols and their Interactions","ObseRvations of Aerosols above CLouds and their intEractionS (ORACLES)"
"NASA's Earth Minute","Promotion and marketing communications"
"Earth 24Seven","Promotional photos"
"Student Airborne Research Program","Student Airborne Research Program (SARP)"
