"Flickr album title","Commons categories"
"JWST Processing","Images by the James Webb Space Telescope"
"Hubble Processing","Hubble images"
"Spitzer","Images by Spitzer Space Telescope"
"WISE Processing","WISE images"
"GALEX","GALEX"
"ESO Processing","European Southern Observatory Images"
"Chandra Processing","Chandra images"
"Planets","Planets"
"Spirals in Galaxies","Spiral galaxies"
"Galaxy Clusters","Galaxy clusters"
"Dwarf Galaxies","Dwarf galaxies"
"Preplanetary Nebulas","Protoplanetary nebulae"
"Planetary Nebulas","Planetary nebulae"
