"Flickr album title","Commons categories"
"Imagens CBERS-1","Photos by CBERS-1"
"Imagens CBERS-4","Satellite pictures by CBERS-4"
"Imagens CBERS-4 - Capitais do Brasil / Capital Cities of Brazil","Satellite pictures by CBERS-4;Satellite pictures of cities in Brazil"
"Imagens CBERS-4 - Maravilhas do Brasil / Wonders of Brazil","Satellite pictures by CBERS-4"
"Imagens CBERS-4 - Algumas Unidades de Conservação do Brasil / Brazilian Parks","Satellite pictures by CBERS-4;National parks of Brazil"
"Imagens CBERS-4 (DSR/OBT/INPE)","Satellite pictures by CBERS-4"
"Imagens CBERS-4 e 4A - Disasters Charter","Photos by CBERS-4A"
"Imagens CBERS-4A","Photos by CBERS-4A"
"Imagens AMAZONIA-1: Capitais do Brasil","Photos by Amazônia 1;Satellite pictures of cities in Brazil"
"Imagens AMAZONIA-1","Photos by Amazônia 1"
