"Flickr album title","Commons categories"
"Operation IceBridge: Tabular Iceberg, 2018 Antarctic Campaign","Operation IceBridge"
"History of Winter 2013",
"IceBridge Penguin","Operation IceBridge"
"Operation IceBridge Views of Larsen C","Operation IceBridge"
"IceBridge, Antarctic 2014","Operation IceBridge"
"IceBridge, Arctic 2014","Operation IceBridge"
"IceBridge Antarctica 2017","Operation IceBridge"
"IceBridge Arctic 2012","Operation IceBridge"
"Arctic sea ice minimum 2013","Arctic sea ice"
"IceBridge, Antarctica 2011","Operation IceBridge"
"IceBridge Arctic 2017","Operation IceBridge"
"NASA Measures the Ice Sheets",
"ICESCAPE 2011",
"Operation IceBridge Alaska","Operation IceBridge"
"IceBridge Antarctica 2016","Operation IceBridge"
"IceBridge Arctic 2015","Operation IceBridge"
"West Antarctic Ice Sheet Science Traverse",
"IceBridge, Arctic 2013","Operation IceBridge"
"Arctic 2018",
"GROVER hits Greenland",
"IceBridge, Antarctic 2012","Operation IceBridge"
"Greenland melt in summer","Retreat of glaciers in Greenland"
"IceBridge, Arctic 2011","Operation IceBridge"
"IceBridge, Antarctic 2013","Operation IceBridge"
"15 Decent Pics from OIB 2015","Operation IceBridge"
"ARISE","Arctic Radiation - IceBridge Sea&Ice Experiment (ARISE)"
