"NASA instrument","Commons categories","Wikidata"
"610 Millimeter Lunar Orbiter Camera","Photos of the Moon by Lunar Orbiter spacecraft",""
"ACRIM3","ACRIMSat",""
"Adaptive Optics System and Coronagraph","",""
"Advanced Camera for Surveys","Advanced Camera for Surveys","Q506269"
"Advanced Land Imager (ALI)","NASA Earth Observing-1 images",""
"Advanced Microwave Radiometer (AMR)","Ocean Surface Topography Mission",""
"Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER)","Photos by ASTER","Q298019"
"Advanced Synthetic Aperture Radar","Envisat Advanced Synthetic Aperture Radar images","Q27940508"
"Advanced Synthetic Aperture Radar (ASAR)","Envisat Advanced Synthetic Aperture Radar images","Q27940508"
"Aerogel Dust Collector","Stardust (spacecraft)",""
"Airborne Visible/Infrared Imaging Spectrometer","Airborne visible/infrared imaging spectrometer (AVIRIS)","Q300149"
"AirSAR","AirSAR",""
"Alice Ultraviolet Spectrometer (UVS)","Photos by New Horizons Alice UVS","Q60749446"
"Alpha Particle X-ray Spectrometer","Alpha particle X-ray spectrometer (APXS)",""
"Alpha Particle X-ray Spectrometer (MSL)","Alpha particle X-ray spectrometer (APXS)",""
"AMSR-E","AMSR images","Q113339165"
"Aquarius","Aquarius (SAC-D instrument)","Q286649"
"Arecibo Observatory","Arecibo Observatory","Q102327045"
"Arecibo Radar Data","Arecibo Observatory","Q102327045"
"ASTER","Photos by ASTER","Q298019"
"ASTHROS","",""
"Atacama Large Millimeter/submillimeter Array Telescope","ALMA images","Q725364"
"Atmosphere Imaging Assembly (AIA)","Photos by Solar Dynamics Observatory","Q118189296"
"Atmospheric Infrared Sounder (AIRS)","Photos by AIRS","Q3628987"
"Atmospheric Structure / Meteorology Instrument","Mars Pathfinder (lander)",""
"Autonomous Navigation System","Deep Impact",""
"AVIRIS-NG","Airborne visible/infrared imaging spectrometer (AVIRIS)","Q115949058"
"BICEP2 Telescope","BICEP",""
"C-Band Imaging Radar","",""
"C-Band Interferometric Radar","",""
"C-Band Radar","",""
"C-Band SAR","",""
"C-SAR Sensor","",""
"California Laboratory for Atmospheric Remote Sensing (CLARS)","",""
"Camera 1","",""
"Camera 2","",""
"Canada France Hawaii Telescope","Canada-France-Hawaii Telescope","Q1031946"
"Canada-France-Hawaii Telescope","Canada-France-Hawaii Telescope","Q1031946"
"Capture Magnet","",""
"Chandra X-ray Observatory","Chandra X-ray Observatory","Q49002"
"Chandra X-ray Telescope","",""
"Chemistry & Mineralogy (CheMin)","Chemistry and Mineralogy (CheMin) instrument","Q5088743"
"Chemistry and Camera (ChemCam)","Chemistry and Camera complex (ChemCam)","Q17072223"
"CHIMERA","",""
"CHIMRA","",""
"CIBER","","Q19580553"
"Cloud Profiling Radar (CPR)","","Q1102583"
"Cloudsat","CloudSat","Q49397"
"Cold Operable Lunar Deployable Arm (COLDArm)","",""
"Comet Infrared and Visible Analyser (CIVA","",""
"Comet Infrared and Visible Analyser (CIVA)","",""
"Compact Ocean Wind Vector Radiometer (COWVR)","",""
"Compact Reconnaissance Imaging Spectrometer for Mars (CRISM)","Compact Reconnaissance Imaging Spectrometer for Mars (CRISM)","Q4026824"
"Composite Infrared Spectrometer","",""
"Contact Camera (CTX)","",""
"Context Camera","",""
"Context Camera (CTX)","Context Camera (CTX)","Q118594233"
"Coronograph","",""
"COWVR","",""
"Cryostat","",""
"DC-8 Airborne Laboratory","",""
"Deep Space Atomic Clock (DSAC)","Deep Space Atomic Clock","Q25304292"
"Deep Space Network","Deep Space Network","Q835696"
"Deep Space Network Antenna","Deep Space Network","Q835696"
"Deep Space Optical Communications (DSOC)","","Q48841771"
"Deep Space Station 14","",""
"Descent Image Motion Estimation System (DIMES)","",""
"Descent Imager/Spectral Radiometer","","Q3024281"
"Digitized Sky Survey","Digitized Sky Survey","Q1225100"
"Disturbance Reduction System","",""
"Diviner","","Q5284179"
"Dual Technique Magnetometer","",""
"Dynamic Albedo of Neutrons","Dynamic Albedo of Neutrons","Q17052188"
"Dynamic Albedo of Neutrons (DAN)","Dynamic Albedo of Neutrons","Q17052188"
"Electra Relay Radio","",""
"Electronic Still Camera","",""
"EMIT","","Q114814745"
"Europa Clipper Magnetometer (ECM)","","Q113581684"
"Europa Imaging System - Narrow Angle","",""
"Europa Imaging System - Wide Angle","",""
"Europa-UVS","","Q48839466"
"ExoMars Trace Gas Orbiter","","Q2090722"
"Extreme Ultraviolet Imaging Telescope","","Q5422455"
"Faint Object Camera","Faint Object Camera","Q304932"
"Far-ultraviolet Detector","",""
